Precinct No.,Precinct Name,Active,Inactive
0204,204 - MADISON,943,130
0208,208 - RESTON #1,3012,423
0209,209 - RESTON #2,3104,371
0213,213 - VIENNA #1,4063,251
0214,214 - VIENNA #2,3152,173
0216,216 - VIENNA #4,1500,96
0218,218 - VIENNA #6,2206,230
0219,219 - WESTBRIAR,3691,310
0220,220 - DOGWOOD,4005,264
0221,221 - HUNTERS WOODS,2711,160
0222,222 - RESTON #3,2140,219
0223,223 - GLADE,3726,443
0224,224 - SOUTH LAKES,4641,384
0225,225 - TERRASET,3976,425
0226,226 - WOLFTRAP,3496,139
0227,227 - SUNRISE VALLEY,1821,87
0229,229 - FOX MILL,4679,240
0233,233 - NORTH POINT,4860,569
0234,234 - ALDRIN,4782,488
0235,235 - FRYING PAN,2939,259
0236,236 - STUART,1344,84
0237,237 - MCNAIR,3751,587
0238,238 - CAMERON GLEN,3404,466
0240,240 - COLVIN,2419,142
0301,301 - CHAIN BRIDGE,3391,381
0302,302 - CHESTERBROOK,2552,183
0303,303 - CHURCHILL,1496,106
0304,304 - COOPER,2369,247
0305,305 - EL NIDO,2298,125
0306,306 - GREAT FALLS,2110,170
0307,307 - HAYCOCK,2522,151
0309,309 - KENMORE,3809,278
0310,310 - KIRBY,2177,132
0311,311 - LANGLEY,2155,169
0312,312 - LONGFELLOW,2612,195
0314,314 - MCLEAN,2593,154
0315,315 - PIMMIT,3325,414
0316,316 - SALONA #1,964,101
0317,317 - WESTHAMPTON,2273,178
0318,318 - WESTMORELAND,1443,80
0319,319 - HERNDON #1,3806,253
0320,320 - HERNDON #2,4057,288
0321,321 - CLEARVIEW,4328,400
0322,322 - FORESTVILLE,3083,290
0323,323 - SHOUSE,2192,150
0324,324 - HERNDON #3,3659,395
0325,325 - HUTCHISON,2404,361
0327,327 - SUGARLAND,3189,221
0328,328 - HICKORY,3144,273
0329,329 - SENECA,3349,350
0331,331 - SPRING HILL,2291,209
0332,332 - COATES,3005,653
0333,333 - SALONA #2,1703,108
0401,401 - BUSH HILL,3213,242
0402,402 - CAMERON,1030,134
0404,404 - FRANCONIA,3411,489
0405,405 - GROVETON,1729,413
0406,406 - HAYFIELD,2344,248
0408,408 - MOUNT EAGLE,2408,372
0409,409 - PIONEER,5019,466
0410,410 - ROSE HILL,4125,734
0411,411 - VIRGINIA HILLS,2199,230
0413,413 - FAIRFIELD,2274,477
0415,415 - CRESTWOOD,2387,215
0417,417 - GARFIELD,3562,240
0418,418 - LYNBROOK,1920,199
0419,419 - LANE,3325,284
0420,420 - VILLAGES,3832,921
0421,421 - KINGSTOWNE,3794,556
0422,422 - VAN DORN,3716,557
0423,423 - CLERMONT,2497,299
0424,424 - HUNTLEY,2774,195
0426,426 - GREENSPRING,1805,49
0427,427 - ISLAND CREEK,2512,301
0428,428 - PINEWOOD,3077,461
0429,429 - HYBLA VALLEY,3242,806
0501,501 - BAILEYS,3111,412
0502,502 - BARCROFT,1334,97
0503,503 - BELVEDERE,1536,130
0504,504 - BRISTOW,2422,349
0505,505 - GLEN FOREST,2618,368
0506,506 - HOLMES,2375,409
0507,507 - LINCOLNIA,3132,409
0508,508 - MASONVILLE,2748,200
0510,510 - PARKLAWN,2169,103
0511,511 - RAVENWOOD,2360,235
0512,512 - SLEEPY HOLLOW,1384,110
0513,513 - SAINT ALBANS,2429,192
0515,515 - WESTLAWN,1577,64
0516,516 - WEYANOKE,3031,334
0517,517 - WILLSTON,1738,377
0518,518 - COLUMBIA,2702,451
0519,519 - HUMMER,1841,199
0520,520 - SKYLINE,4400,974
